city_ID_j,pop_j,unemp_j,pcinc_j,div_j,dem_i,lat_j,longt_j,cm_j,mc_j,co_j
101852,32920,0.117971516,11019,0.498454718,0.4052,33.67344,-85.810918,1,0,0
121184,59542,0.046376223,12940,0.393775786,0.30545,31.233698,-85.406823,1,0,0
151000,198553,0.07083144,12843,0.500016777,0.44095,32.346251,-86.268593,0,1,0
178552,28877,0.028226336,25973,0.061362308,0.4604,33.462496,-86.739508,0,1,0
404720,20726,0.106141367,9371,0.518995683,0.4074,33.313041,-112.329077,1,0,0
406260,7512,0.107855763,9165,0.128808034,0.4074,31.398036,-109.931834,1,0,0
408220,21783,0.066241792,12499,0.081366883,0.48735,35.129773,-114.561149,1,0,0
422220,6726,0.069487578,7611,0.529272456,0.38545,33.590224,-112.327102,1,0,0
422360,8346,0.168965517,6173,0.606562355,0.38545,32.743112,-111.59848,1,0,0
423620,50144,0.069678181,11681,0.334779577,0.38545,35.185217,-111.620726,1,0,0
423760,4843,0.050755287,10009,0.260952452,0.38545,33.051517,-111.412785,1,0,0
427050,902,0.138121547,6067,0.541162229,0.38545,32.948625,-112.70553,0,1,0
427820,156619,0.060965504,13333,0.268616318,0.38545,33.533111,-112.189901,1,0,0
444270,14488,0.052661302,13264,0.208179838,0.38545,32.465396,-111.139016,1,0,0
444410,1508,0.10862069,7515,0.517977701,0.38545,33.045487,-112.015485,1,0,0
446000,320500,0.052510508,13357,0.173546582,0.38545,33.401926,-111.717379,1,0,0
449640,20152,0.135216709,7740,0.404762841,0.38545,31.362463,-110.933538,0,1,0
451600,12072,0.051131456,19588,0.126430829,0.36335,32.422094,-110.976235,1,0,0
454050,55416,0.049584477,14256,0.21561305,0.47975,33.787708,-112.3111,1,0,0
455000,995872,0.066666155,14108,0.319076977,0.4892,33.572162,-112.087966,1,0,0
457450,14279,0.058536585,10461,0.064140479,0.4892,34.579376,-112.448176,1,0,0
458150,3994,0.06046777,10847,0.457169189,0.4892,33.241183,-111.640283,1,0,0
465350,9141,0.041030773,19340,0.041003437,0.47585,34.857323,-111.794933,1,0,0
467800,3920,0.071205008,7986,0.184223493,0.47585,34.518972,-110.089988,1,0,0
471300,3409,0.109074244,7271,0.4360848,0.47585,33.285146,-111.1103,0,1,0
